,ID,L,b1,t_p,t_w,h_w,d1_plate,d4_plate,d2_plate,s_plate,d1_walls,d4_walls,s_walls,fcc,s,beta,h_G,alpha_l,h_v,l_v,oo,uu,d3_plate,d3_walls,d2_walls,fsy,fsu_fac,esu,ecu,gamma_E,phi_k,q_Gl,b_Bs,Q_k,l_sec,b_sec1_b1,b_sec2_b1,h_S1_3,h_S7_9,mesh_size_factor,b2,b_sec1_b2,b_sec2_b2,fsu,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c,eta_min_shear,x_c_shear,y_c_shear,z_c_shear,Location_c_shear,element_count_shear,eta_min_shear_reduced,x_c_shear_reduced,y_c_shear_reduced,z_c_shear_reduced,Location_c_shear_reduced,element_count_shear_reduced,eta_min_c_stresses,x_c_stresses,y_c_stresses,z_c_stresses,Location_c_stresses
0,0,13141.228497877531,2213.756812552373,1083.343076174061,1045.616126364052,3667.4531374184585,20.859850077449615,22.25030866521892,16.988893131625193,323.20311040312885,24.506795487202893,19.15955851414892,450.2856332386792,41.71462626372975,0.5811142074827722,-9.129363208585362,1088.795829253974,90,0,0,30,30,12,12,12,390,1.08,0.045,-0.002,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,2213.756812552373,0.33,0.33,421.2000000000001,0.9996215368502316,2054.697509765625,11620.33203125,-1560.593994140625,eta_4,24.0,3.106938768335351,154.3812713623047,11620.33203125,-1211.2220458984375,eta_3_bot,0.0,0.117045846040132,1095.8096222134266,12095.61237151348,-1385.9079600110838,bot,15.0,0.3099857151000569,365.2698740711416,11596.66836118855,0.0,bot,3.0,1.8519625294343167,154.3812713623047,11620.33203125,-1560.593994140625,eta_y_bot_stresses
1,1,12917.721116896982,8730.907269730273,804.6189563692913,842.5882691027138,3120.7097801190494,12.249993022993554,25.01938202155369,14.522538753957017,179.35225366163476,22.428908801432176,28.358731998598508,166.34156068245926,28.96107665063809,0.7762004993445895,-26.67710034821923,1357.4629337616775,90,0,0,30,30,12,12,12,390,1.08,0.045,-0.002,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,8730.907269730273,0.33,0.33,421.2000000000001,1.0461800736820872,872.5172729492188,6577.22314453125,-757.2884521484375,eta_1,0.0,2.8803659373512285,152.21730041503906,11906.7158203125,-757.2884521484375,eta_3_bot,0.0,0.4188137774859072,360.1499248763738,11676.653463817056,0.0,bot,41.0,0.4188137774859072,360.1499248763738,11676.653463817056,0.0,bot,12.0,1.742717400434554,152.21730041503906,11906.7158203125,-757.2884521484375,eta_y_bot_stresses
2,2,12532.428820525613,17423.311791846118,683.8251614220719,654.3133303233941,3532.3537835517504,12.559036886333706,22.427204454156712,13.32257311946512,253.85738354029684,14.118446974536132,20.42606400021161,318.26097035077163,43.09949487471302,0.6589215967839118,49.12348357393276,778.7234208844086,90,0,0,30,30,12,12,12,390,1.08,0.045,-0.002,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,17423.311791846118,0.33,0.33,421.2000000000001,0.9989957416782266,17298.125,5528.66796875,-646.525634765625,eta_1,133.0,2.1120340799824056,17298.125,279.5702514648437,-806.9933471679688,eta_3_bot,0.0,0.1447525911865456,17127.115491384713,11878.11549020222,-975.2443485650914,bot,58.0,0.5181418525379676,17127.115491384735,11551.467314221656,0.0,bot,1.0,1.3836860678557357,17298.125,279.5702514648437,-806.9933471679688,eta_y_bot_stresses
3,3,13157.108154725416,17267.723655699992,916.4270490382632,1210.181249088983,4913.791058842806,20.481922162384677,13.547931614424227,18.52405264871795,249.4282049229824,29.06008764922874,17.53822109899887,211.13468855950077,28.318187114282207,0.4607167831350018,-37.04575735439796,774.7033133408704,90,0,0,30,30,12,12,12,390,1.08,0.045,-0.002,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,17267.723655699992,0.33,0.33,421.2000000000001,0.9994620638361056,172.0290069580078,11780.2978515625,-868.8204345703125,eta_4,70.0,2.534407900567841,172.0290069580078,11780.2978515625,-868.8204345703125,eta_3_bot,0.0,0.0718671007896689,407.0249147414998,11552.678317750431,0.0,bot,42.0,1.5395436668937792,407.0249147414998,8398.689614662413,0.0,top,0.0,1.5889188368615403,172.0290069580078,11325.05859375,-868.8204345703125,eta_y_bot_stresses
4,4,10396.121719268918,11847.226207926167,375.64873920223295,726.136768067047,4303.405483125509,20.733096960563294,17.92304861649184,25.46789393321145,251.5224924072564,17.699046272936,12.357417167324536,274.1537154045665,40.59966433647381,0.1212520084918213,-16.406805129591984,478.6171535705474,90,0,0,30,30,12,12,12,390,1.08,0.045,-0.002,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,11847.226207926167,0.33,0.33,421.2000000000001,0.9971542566379116,75.10845184326172,279.63739013671875,-328.6926574707031,eta_4,122.0,0.6578494707947456,75.10845184326172,279.63739013671875,-328.6926574707031,eta_3_bot,24.0,0.0226511069060658,177.70839311889256,177.28305743870095,0.0,bot,49.0,0.0234450578719801,177.70839311889256,9492.70189376317,0.0,bot,32.0,0.9486031576800036,75.10845184326172,279.63739013671875,-328.6926574707031,eta_y_bot_stresses
5,5,13244.340869605125,10279.19501838621,746.5158945881573,645.0619113113105,3865.7728447335912,21.45037191162522,29.263633360990703,24.25578153169797,109.38663810588424,18.917785308319917,27.51794113866397,455.2025573374336,49.13813399975769,0.4487765645679644,-23.492237173849947,342.4796459345528,90,0,0,30,30,12,12,12,390,1.08,0.045,-0.002,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,10279.19501838621,0.33,0.33,421.2000000000001,1.0289573564562164,119.4737777709961,12324.5302734375,-1249.573974609375,eta_4,0.0,2.4982018312336938,119.4737777709961,12324.5302734375,-881.3099975585938,eta_3_bot,0.0,0.2799527321965268,282.6778630056208,12599.278958293817,-1065.4421542786786,bot,21.0,0.2799527321965268,282.6778630056208,12599.278958293817,-1065.4421542786786,bot,19.0,1.5618482177454915,119.4737777709961,12324.5302734375,-881.3099975585938,eta_y_bot_stresses
6,6,6708.188624331151,3761.507565680517,338.6064298371618,886.906106627972,4968.774046470461,25.98394909539503,20.15309475705924,24.382287253523184,416.154782636442,21.22858014049664,24.65816992290413,369.5675116534729,39.53755598757012,0.7703933492410097,-33.520615628371374,1179.9487477165396,90,0,0,30,30,12,12,12,390,1.08,0.045,-0.002,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,3761.507565680517,0.33,0.33,421.2000000000001,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,
7,7,13021.584470557656,8559.231902652873,594.4181212854126,980.633786808098,4383.877035052695,20.092051019480422,26.86196065195473,25.04256989205255,299.2008082418348,18.6710904229274,19.71355379106449,370.1070325213997,43.72776925206479,0.5219609838025058,7.530790772740179,421.1693069489567,90,0,0,30,30,12,12,12,390,1.08,0.045,-0.002,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,8559.231902652873,0.33,0.33,421.2000000000001,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,
8,8,14973.926200807558,14818.749914638986,580.9657825521606,988.6307172147508,2955.378364798755,21.52708771327157,18.010997337179052,20.021353564869752,111.1641393410492,8.450034209039039,23.1768530368536,248.58226645673972,47.8898916544823,0.5823507888228278,-11.92388297331905,1192.8856866158867,90,0,0,30,30,12,12,12,390,1.08,0.045,-0.002,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,14818.749914638986,0.33,0.33,421.2000000000001,0.9999181673961656,5005.01123046875,451.3314208984375,-3151.7568359375,eta_1,41.0,2.141458253679849,6091.72021484375,13530.3134765625,-533.5399780273438,eta_3_bot,0.0,0.1726421650228335,6248.572880672773,13696.848764243709,0.0,bot,93.0,0.1726421650228335,6248.572880672773,13696.848764243709,0.0,bot,50.0,1.3979360434994992,6091.72021484375,13530.3134765625,-533.5399780273438,eta_y_bot_stresses
9,9,13238.51508886128,5321.027653373737,866.6391770026927,496.89285432944047,3240.9611183177503,26.51208607048052,12.588146137698304,14.520790863268209,296.6125075652943,26.267536752401718,12.886803917879886,363.5289880856295,28.99447065578039,0.3338461499339501,-43.15419215349215,612.8762952447034,90,0,0,30,30,12,12,12,390,1.08,0.045,-0.002,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,5321.027653373737,0.33,0.33,421.2000000000001,0.9988847801673046,92.76844787597656,12540.4990234375,-1147.806396484375,eta_4,96.0,2.002769063114285,92.76844787597656,201.123291015625,-941.9776000976562,eta_3_bot,0.0,0.1927360733283978,219.49239070166624,12741.62223453184,-1044.892038510169,bot,27.0,1.6903522447171695,219.49239070166664,12508.025826898756,0.0,bot,0.0,1.334657461837869,92.76844787597656,201.123291015625,-941.9776000976562,eta_y_bot_stresses
